month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
1,21,2,7,59,131,21,127,651,835,966,987,902,1025,56,52,87,11,12,0,30.1,23,23
12,18,3,6,45,-2,9,52,77,423,421,430,475,465,50,47,89,3,16,0,29.98,24,24
11,26,2,3,33,0,27,397,2586,420,420,447,637,629,55,33,43,9,3,0,29.96,42,25
11,27,3,8,35,6,24,100,414,740,746,770,840,838,50,37,61,15,12,0,29.51,40,27
1,5,7,0,54,-2,21,297,1846,655,653,674,832,822,59,44,58,15,15,0,30.52,40,29
1,26,7,6,9,-4,31,97,326,645,641,672,742,730,60,51,72,15,16,0,30.26,37,33
1,12,7,7,67,125,23,100,447,958,1083,1106,1058,1175,50,42,74,9,6,0,30.16,24,30
1,11,6,1,35,0,26,100,414,695,695,721,795,787,56,43,62,16,21,0,30.23,29,24
1,4,6,7,78,19,15,361,2393,1106,1125,1140,1287,1298,54,46,75,15,12,0,30.41,22,38
11,16,6,7,57,-10,18,107,550,702,692,710,809,791,59,54,83,5,3,0,30.07,39,23
12,3,2,2,8,-2,88,406,2704,400,398,486,626,616,58,51,78,3,7,0,30.09,41,22
12,30,1,6,49,969,34,152,791,1014,543,577,1106,627,54,46,75,0,0,0,30.17,41,24
1,4,6,6,46,-1,14,297,1772,930,929,943,1107,1098,52,47,83,15,13,0,30.39,25,33
1,26,7,7,57,-16,25,117,550,678,662,687,795,771,60,51,72,15,16,0,30.26,37,33
12,12,4,6,19,83,27,255,1464,1175,1258,1285,1310,1385,58,55,90,16,6,0,30.27,22,19
1,28,2,7,30,-9,56,269,1635,1221,1212,1268,1370,1353,53,49,86,16,9,0,30.29,23,16
12,3,2,2,33,-1,26,404,2586,930,929,955,1154,1145,57,52,83,0,0,0,29.93,26,33
1,16,4,7,8,29,95,417,2704,920,949,1044,1157,1178,48,41,77,9,7,0,29.95,21,31
12,9,1,7,35,-1,35,98,414,941,940,975,1039,1030,56,47,72,15,10,0,30.17,23,25
1,17,5,1,54,0,98,308,1846,1060,1060,1158,1248,1240,50,42,74,2,14,0,30.29,31,42
12,3,2,0,13,-4,14,347,2296,445,441,455,612,600,58,51,78,3,7,0,30.09,41,22
11,11,1,6,1,102,14,75,250,678,780,794,753,847,67,55,66,6,5,0,30.0,30,31
12,26,4,6,56,-3,47,126,710,360,357,404,486,475,47,35,63,10,5,0,29.91,30,23
1,5,7,1,57,-12,17,112,550,445,433,450,557,537,54,41,62,0,0,0,30.58,50,30
1,11,6,7,54,158,45,289,1846,965,1123,1168,1134,1284,50,42,74,15,6,0,30.2,14,33
12,11,3,7,57,-4,31,107,550,1003,999,1030,1110,1098,58,54,87,6,5,0,30.16,23,37
11,24,7,3,20,-3,34,321,2079,505,502,536,646,635,59,48,67,2,5,0,30.17,43,22
11,6,3,6,69,-8,43,76,262,613,605,648,689,673,58,49,72,5,5,0,30.01,36,42
11,8,5,6,42,-12,18,89,329,1085,1073,1091,1174,1154,53,49,86,15,15,0,30.16,29,34
12,7,6,0,43,31,16,384,2585,520,551,567,724,747,61,56,83,9,30,40,29.88,32,36
11,1,5,7,71,-7,31,133,679,1170,1163,1194,1303,1288,60,29,31,12,3,0,30.1,19,48
11,19,2,3,71,-6,14,138,679,450,444,458,588,574,61,50,67,15,31,37,29.81,36,51
1,12,7,7,17,29,38,384,2442,1042,1071,1109,1246,1267,50,43,77,14,7,0,30.15,17,40
1,25,6,6,45,-7,17,50,77,418,411,428,468,453,54,51,90,1,5,0,30.15,25,22
1,9,4,6,62,-11,19,100,421,960,949,968,1060,1041,54,43,66,5,9,0,30.12,23,28
12,2,1,7,10,18,22,370,2457,1125,1143,1165,1315,1325,56,51,84,0,0,0,30.12,32,28
11,1,5,1,33,-1,35,395,2586,570,569,604,785,776,65,40,40,6,5,0,30.1,38,32
11,22,5,7,4,2,17,235,1504,1112,1114,1131,1227,1221,55,46,72,15,9,0,30.17,26,41
12,11,3,1,71,124,36,140,679,760,884,920,900,1016,56,54,93,6,5,0,30.17,39,28
