,TAXI_OUT
8065,13
4156,15
691,16
16981,20
7106,17
11736,16
2106,14
22490,36
12863,18
24403,18
12264,29
4792,14
8412,22
6927,25
8003,15
10396,20
91,18
23087,40
2322,21
19100,17
28090,6
28693,22
9125,30
752,15
14784,37
20521,29
859,22
27638,16
3952,23
7481,18
13031,24
27304,40
7059,21
15350,31
19230,23
2598,21
19365,20
3071,18
17763,12
5063,15
22936,11
7823,15
18550,39
1921,18
21256,17
1966,22
24537,18
27084,16
18362,32
8709,16
15461,27
2646,24
20387,23
13740,15
18880,16
23869,27
379,27
14427,39
24159,12
2586,15
16554,18
25866,19
26260,11
6214,29
26078,15
17640,14
24801,26
27268,18
2846,20
9971,39
26277,20
13334,32
19727,34
21493,26
17553,15
8017,16
28001,23
12323,21
28620,18
21425,37
21279,13
2720,32
2305,23
9353,22
28701,30
15171,12
9363,19
7464,16
13703,27
25191,18
22973,27
23702,19
7138,22
6323,11
16144,23
19863,13
23897,19
5321,16
9159,17
246,40
12239,14
19703,31
21207,37
1680,18
2069,22
160,15
8523,34
21171,36
14335,23
18451,17
21681,19
9917,24
23816,11
2532,20
17142,22
10274,35
25104,21
102,16
24207,30
19905,12
9056,15
11979,34
4725,11
11153,16
11267,41
20168,27
8743,31
14059,12
26720,35
478,14
17744,22
10415,17
5699,17
8374,15
5652,18
2611,15
11785,30
6841,23
1010,19
17987,17
16566,16
10394,22
10258,25
858,15
12353,25
18952,15
1599,17
18221,17
12421,19
27712,16
18410,15
20173,26
11559,19
26424,21
2951,12
20711,14
14159,17
5051,22
12890,30
1713,19
24990,15
2002,18
21015,23
16368,19
23092,14
12251,26
2197,27
21109,23
17124,32
17687,20
6949,15
23944,27
13554,22
24634,21
22949,16
25587,15
25446,21
16319,21
9897,20
3871,30
19288,23
16871,26
22060,30
23618,14
27283,22
277,13
17493,22
4633,12
19529,28
25213,22
11241,23
17386,18
7230,19
12572,12
28435,20
2924,36
14675,22
16348,18
925,32
239,17
762,22
5369,18
27449,24
6696,21
14228,27
3235,16
25498,25
7178,32
12579,12
1087,20
9301,16
24925,21
27982,19
10567,25
3956,25
24868,18
22905,16
17266,21
23054,21
4755,18
8590,19
22112,19
22279,25
25445,18
17497,18
17901,15
11803,18
25697,18
17817,27
187,16
17228,15
3890,21
7286,15
7153,33
17035,37
14956,20
17942,21
3799,15
23716,23
16950,29
26194,21
5188,25
3992,14
13050,27
23323,13
8834,20
14289,26
27687,18
25065,19
21909,18
13466,34
3283,30
7777,18
24507,34
27839,18
4260,19
22500,23
14342,17
18475,35
23851,12
13894,22
954,18
23133,17
15880,31
15772,27
2279,16
8869,16
10693,14
14601,17
10949,35
18799,20
7240,31
28324,18
20992,22
7652,20
2745,21
13398,23
11036,30
22426,12
20931,16
28153,21
5898,22
2144,15
18374,28
2946,19
17702,34
20367,28
4628,19
17158,18
18243,15
15852,13
15829,27
23078,23
19482,24
15519,20
15577,27
2754,24
4622,26
1220,26
23,15
2587,13
14234,28
6701,17
19718,38
18010,20
7037,15
13665,11
12779,17
17122,17
28204,11
11214,16
25356,16
18036,11
26181,23
3172,21
7914,24
1876,19
12953,19
12164,27
23073,28
12373,14
15557,24
6639,18
22285,24
26198,17
4615,26
4275,24
2933,14
21530,35
19197,31
24295,9
22458,26
8466,14
1290,19
2091,12
1335,15
6154,29
1723,15
10800,30
23740,17
17141,21
18931,16
7509,21
8756,16
21673,24
13158,23
4389,20
16212,31
1439,34
1522,18
17971,16
8241,20
19806,14
3536,16
3361,21
7035,18
12526,21
8174,30
19366,29
20241,28
28682,20
3913,31
17636,13
22063,11
20719,17
18229,16
16860,22
12381,16
9469,22
6363,25
14303,20
5714,20
5866,37
13063,22
26430,27
12485,23
28797,16
13720,20
14990,24
10766,28
104,16
8972,26
16439,17
17576,16
1657,16
21144,16
14472,29
540,36
6410,20
12307,16
3512,20
12793,17
2151,22
12630,20
10050,26
25952,15
14242,21
13234,26
1526,12
19846,15
15521,27
25242,12
6769,17
2977,25
25530,38
3973,16
18850,13
23621,16
26208,29
2966,14
22355,33
8857,27
20194,19
19512,22
18779,17
15915,16
13997,35
20366,32
15115,21
20351,24
1357,14
23880,28
21322,24
10891,21
610,19
14641,22
21080,31
9121,20
